instruction,context,response
"Analyze this bank transaction for mule-account and fraud-proceeds risk. Return the label, risk action, and concise reason codes.","{""transaction_id"":""TXN0001"",""amount"":1200,""channel"":""NEFT"",""sender_account"":""AC10231"",""receiver_account"":""AC88210"",""device_id"":""DEV-19K"",""sender_location"":""Pune"",""receiver_location"":""Pune"",""is_watchlisted_account"":0,""is_watchlisted_device"":0,""is_cyber_alert_match"":0,""graph_link_count"":1,""shared_device_account_count"":1,""funds_moved_within_minutes"":0,""cashout_detected"":0,""location_mismatch"":0}","{""label"":""safe"",""risk_score"":8,""action"":""Allow with monitoring"",""reasons"":[""Normal behavior with no material risk signal""]}"
"Analyze this bank transaction for mule-account and fraud-proceeds risk. Return the label, risk action, and concise reason codes.","{""transaction_id"":""TXN0002"",""amount"":185000,""channel"":""UPI"",""sender_account"":""AC88420"",""receiver_account"":""AC44771"",""device_id"":""DEV-71A"",""sender_location"":""Mumbai"",""receiver_location"":""Delhi"",""is_watchlisted_account"":1,""is_watchlisted_device"":1,""is_cyber_alert_match"":1,""graph_link_count"":8,""shared_device_account_count"":6,""funds_moved_within_minutes"":3,""cashout_detected"":1,""location_mismatch"":1}","{""label"":""mule"",""risk_score"":99,""action"":""Debit freeze and case escalation"",""reasons"":[""Cyber or regulatory alert matched"",""Watchlisted account involved"",""Watchlisted or shared suspicious device detected"",""High-value transfer"",""Rapid cashout or fund pass-through detected"",""Location mismatch across sender and receiver activity"",""Dense mule-network graph links""]}"
"Analyze this bank transaction for mule-account and fraud-proceeds risk. Return the label, risk action, and concise reason codes.","{""transaction_id"":""TXN0003"",""amount"":94000,""channel"":""IMPS"",""sender_account"":""AC77412"",""receiver_account"":""AC99081"",""device_id"":""DEV-42X"",""sender_location"":""Delhi"",""receiver_location"":""Kolkata"",""is_watchlisted_account"":1,""is_watchlisted_device"":1,""is_cyber_alert_match"":1,""graph_link_count"":6,""shared_device_account_count"":4,""funds_moved_within_minutes"":5,""cashout_detected"":1,""location_mismatch"":1}","{""label"":""fraud"",""risk_score"":94,""action"":""Debit freeze and case escalation"",""reasons"":[""Cyber or regulatory alert matched"",""Watchlisted account involved"",""Watchlisted or shared suspicious device detected"",""High-value transfer"",""Rapid cashout or fund pass-through detected"",""Location mismatch across sender and receiver activity"",""Dense mule-network graph links""]}"
"Analyze this bank transaction for mule-account and fraud-proceeds risk. Return the label, risk action, and concise reason codes.","{""transaction_id"":""TXN0004"",""amount"":8000,""channel"":""CARD"",""sender_account"":""AC33110"",""receiver_account"":""AC22881"",""device_id"":""DEV-55M"",""sender_location"":""Bengaluru"",""receiver_location"":""Bengaluru"",""is_watchlisted_account"":0,""is_watchlisted_device"":0,""is_cyber_alert_match"":0,""graph_link_count"":0,""shared_device_account_count"":1,""funds_moved_within_minutes"":0,""cashout_detected"":0,""location_mismatch"":0}","{""label"":""safe"",""risk_score"":6,""action"":""Allow with monitoring"",""reasons"":[""Normal behavior with no material risk signal""]}"
"Analyze this bank transaction for mule-account and fraud-proceeds risk. Return the label, risk action, and concise reason codes.","{""transaction_id"":""TXN0005"",""amount"":51000,""channel"":""UPI"",""sender_account"":""AC55120"",""receiver_account"":""AC44771"",""device_id"":""DEV-71A"",""sender_location"":""Jaipur"",""receiver_location"":""Delhi"",""is_watchlisted_account"":0,""is_watchlisted_device"":1,""is_cyber_alert_match"":0,""graph_link_count"":5,""shared_device_account_count"":5,""funds_moved_within_minutes"":8,""cashout_detected"":0,""location_mismatch"":1}","{""label"":""review"",""risk_score"":67,""action"":""Hold transaction for review"",""reasons"":[""Watchlisted or shared suspicious device detected"",""Location mismatch across sender and receiver activity"",""Dense mule-network graph links""]}"
"Analyze this bank transaction for mule-account and fraud-proceeds risk. Return the label, risk action, and concise reason codes.","{""transaction_id"":""TXN0006"",""amount"":2500,""channel"":""WALLET"",""sender_account"":""AC90118"",""receiver_account"":""AC66550"",""device_id"":""DEV-88M"",""sender_location"":""Hyderabad"",""receiver_location"":""Hyderabad"",""is_watchlisted_account"":0,""is_watchlisted_device"":0,""is_cyber_alert_match"":0,""graph_link_count"":0,""shared_device_account_count"":1,""funds_moved_within_minutes"":0,""cashout_detected"":0,""location_mismatch"":0}","{""label"":""safe"",""risk_score"":5,""action"":""Allow with monitoring"",""reasons"":[""Normal behavior with no material risk signal""]}"
"Analyze this bank transaction for mule-account and fraud-proceeds risk. Return the label, risk action, and concise reason codes.","{""transaction_id"":""TXN0007"",""amount"":176000,""channel"":""IMPS"",""sender_account"":""AC44771"",""receiver_account"":""AC77220"",""device_id"":""DEV-71A"",""sender_location"":""Delhi"",""receiver_location"":""Lucknow"",""is_watchlisted_account"":1,""is_watchlisted_device"":1,""is_cyber_alert_match"":1,""graph_link_count"":10,""shared_device_account_count"":6,""funds_moved_within_minutes"":2,""cashout_detected"":1,""location_mismatch"":1}","{""label"":""mule"",""risk_score"":98,""action"":""Debit freeze and case escalation"",""reasons"":[""Cyber or regulatory alert matched"",""Watchlisted account involved"",""Watchlisted or shared suspicious device detected"",""High-value transfer"",""Rapid cashout or fund pass-through detected"",""Location mismatch across sender and receiver activity"",""Dense mule-network graph links""]}"
"Analyze this bank transaction for mule-account and fraud-proceeds risk. Return the label, risk action, and concise reason codes.","{""transaction_id"":""TXN0008"",""amount"":42000,""channel"":""UPI"",""sender_account"":""AC11220"",""receiver_account"":""AC44771"",""device_id"":""DEV-93K"",""sender_location"":""Kolkata"",""receiver_location"":""Delhi"",""is_watchlisted_account"":0,""is_watchlisted_device"":0,""is_cyber_alert_match"":0,""graph_link_count"":4,""shared_device_account_count"":1,""funds_moved_within_minutes"":15,""cashout_detected"":0,""location_mismatch"":1}","{""label"":""review"",""risk_score"":52,""action"":""Hold transaction for review"",""reasons"":[""Location mismatch across sender and receiver activity""]}"
"Analyze this bank transaction for mule-account and fraud-proceeds risk. Return the label, risk action, and concise reason codes.","{""transaction_id"":""TXN0009"",""amount"":15000,""channel"":""RTGS"",""sender_account"":""AC22510"",""receiver_account"":""AC44590"",""device_id"":""DEV-24A"",""sender_location"":""Mumbai"",""receiver_location"":""Mumbai"",""is_watchlisted_account"":0,""is_watchlisted_device"":0,""is_cyber_alert_match"":0,""graph_link_count"":0,""shared_device_account_count"":1,""funds_moved_within_minutes"":0,""cashout_detected"":0,""location_mismatch"":0}","{""label"":""safe"",""risk_score"":7,""action"":""Allow with monitoring"",""reasons"":[""Normal behavior with no material risk signal""]}"
"Analyze this bank transaction for mule-account and fraud-proceeds risk. Return the label, risk action, and concise reason codes.","{""transaction_id"":""TXN0010"",""amount"":88000,""channel"":""UPI"",""sender_account"":""AC66550"",""receiver_account"":""AC90214"",""device_id"":""DEV-99M"",""sender_location"":""Hyderabad"",""receiver_location"":""Patna"",""is_watchlisted_account"":1,""is_watchlisted_device"":1,""is_cyber_alert_match"":1,""graph_link_count"":7,""shared_device_account_count"":5,""funds_moved_within_minutes"":4,""cashout_detected"":1,""location_mismatch"":1}","{""label"":""fraud"",""risk_score"":92,""action"":""Debit freeze and case escalation"",""reasons"":[""Cyber or regulatory alert matched"",""Watchlisted account involved"",""Watchlisted or shared suspicious device detected"",""Rapid cashout or fund pass-through detected"",""Location mismatch across sender and receiver activity"",""Dense mule-network graph links""]}"
